Algorithm,Case,Input Size,Execution Time
Radix Sort,Nearly Sorted,10000,0.007293374999989055
TimSort,Nearly Sorted,10000,0.0002762089999919226
Bubble Sort,Nearly Sorted,15000,4.237961250000012
Insertion Sort,Nearly Sorted,15000,0.36584700000000225
Selection Sort,Nearly Sorted,15000,2.813334124999983
Shell Sort,Nearly Sorted,15000,0.02135924999998906
Merge Sort,Nearly Sorted,15000,0.02054329200001348
Quick Sort,Nearly Sorted,15000,0.010862374999987878
Heap Sort,Nearly Sorted,15000,0.03428929199998265
Radix Sort,Nearly Sorted,15000,0.012404042000014215
TimSort,Nearly Sorted,15000,0.00037708299998939765
Bubble Sort,Nearly Sorted,20000,7.139669749999996
Insertion Sort,Nearly Sorted,20000,0.6624520409999946
Selection Sort,Nearly Sorted,20000,4.7308830839999985
Shell Sort,Nearly Sorted,20000,0.028406833999980563
Merge Sort,Nearly Sorted,20000,0.029357958000019835
Quick Sort,Nearly Sorted,20000,0.0146725829999923
Heap Sort,Nearly Sorted,20000,0.04681154200000037
Radix Sort,Nearly Sorted,20000,0.01780854099999374
TimSort,Nearly Sorted,20000,0.0005065830000035021
